@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
67,'2018/01/18 19:42:00:396',1,0.048246,0.153955,0.416014,0.074738,0.038543,0.00996,0.008251,0.005877,0.007405,0.006326,0.006722,0.006933,0.006517,0.005313,0.007332,0.004364,0.00147,0.002483,0.001003,0.001371,0.000654,0.00048,0.000323,0.000228,0.000095,?
68,'2018/01/18 19:42:00:407',1,0.075134,0.215103,0.296378,0.051201,0.026739,0.009363,0.006126,0.01023,0.008496,0.006079,0.008352,0.007155,0.004707,0.004577,0.005179,0.003963,0.001492,0.003021,0.000984,0.001127,0.000686,0.000435,0.000367,0.000241,0.000097,?
69,'2018/01/18 19:42:00:421',1,0.11433,0.157479,0.293691,0.057339,0.024532,0.008064,0.010566,0.007623,0.009815,0.007865,0.008845,0.008056,0.004185,0.003771,0.006344,0.002976,0.002401,0.002542,0.001248,0.001081,0.000856,0.000486,0.000327,0.000211,0.000096,?
70,'2018/01/18 19:42:00:430',1,0.057915,0.148388,0.230023,0.053396,0.026594,0.005777,0.009381,0.007224,0.008392,0.005636,0.008457,0.011196,0.005731,0.003735,0.006506,0.002754,0.002378,0.002741,0.001274,0.001245,0.001004,0.000546,0.00035,0.000215,0.000088,?
71,'2018/01/18 19:42:00:446',1,0.074234,0.223459,0.128996,0.067188,0.01951,0.006106,0.008113,0.01031,0.006445,0.008746,0.005108,0.008724,0.004813,0.004432,0.005926,0.003297,0.002133,0.002402,0.001248,0.001176,0.000885,0.000561,0.000345,0.000206,0.000083,?
72,'2018/01/18 19:42:00:454',1,0.097905,0.181594,0.181914,0.078177,0.0294,0.004809,0.005331,0.008444,0.009638,0.009878,0.006519,0.008517,0.004242,0.004647,0.005398,0.003287,0.001851,0.002142,0.001214,0.000884,0.000801,0.0006,0.000337,0.0002,0.000088,?
73,'2018/01/18 19:42:00:465',1,0.087992,0.187994,0.131178,0.046727,0.019298,0.01172,0.007842,0.006818,0.011898,0.008995,0.008463,0.006803,0.002863,0.003186,0.00404,0.002412,0.002199,0.002439,0.001258,0.000858,0.000754,0.000564,0.000348,0.000202,0.000098,?
74,'2018/01/18 19:42:00:477',1,0.086027,0.146538,0.099226,0.053269,0.030304,0.010451,0.007687,0.011642,0.007946,0.00828,0.007962,0.010701,0.003658,0.003576,0.003338,0.002251,0.002025,0.002356,0.00093,0.00084,0.00077,0.000512,0.000309,0.000199,0.000104,?
75,'2018/01/18 19:42:00:488',1,0.107266,0.196988,0.15031,0.030294,0.018887,0.007355,0.006618,0.00881,0.011374,0.008984,0.006247,0.00686,0.004104,0.003803,0.003642,0.001912,0.002317,0.00187,0.001242,0.001014,0.000728,0.000565,0.000322,0.000227,0.000094,?
76,'2018/01/18 19:42:00:500',1,0.072274,0.287384,0.177259,0.03768,0.019661,0.005514,0.010718,0.009394,0.014454,0.004375,0.004938,0.00925,0.003559,0.003464,0.003395,0.001612,0.002268,0.00204,0.001274,0.001005,0.000665,0.0006,0.000321,0.000223,0.0001,?
77,'2018/01/18 19:42:00:512',1,0.057998,0.309385,0.160596,0.030759,0.024319,0.004453,0.010485,0.004558,0.012996,0.007079,0.006017,0.008786,0.002301,0.004462,0.006793,0.002921,0.00216,0.001878,0.001049,0.00087,0.000741,0.000625,0.000294,0.000189,0.000088,?
78,'2018/01/18 19:42:00:529',1,0.105586,0.365817,0.087939,0.040241,0.024904,0.006815,0.005939,0.004994,0.005969,0.005011,0.008419,0.005577,0.003221,0.003123,0.004977,0.002537,0.001931,0.002351,0.001099,0.000819,0.000728,0.000598,0.000296,0.000198,0.000095,?
79,'2018/01/18 19:42:00:535',1,0.072254,0.173019,0.070156,0.032081,0.010685,0.005446,0.00548,0.006143,0.009077,0.00375,0.007559,0.005405,0.004036,0.004226,0.004329,0.002379,0.002657,0.001975,0.00113,0.00091,0.000713,0.000489,0.000324,0.000214,0.000108,?
